month,lat,psl
4,-70.20942408376963,98768.04771592937
4,-69.26701570680629,98643.15090603296
4,-68.32460732984293,98545.0243869355
4,-67.38219895287958,98473.76982964369
4,-66.43979057591623,98415.22243923612
4,-65.49738219895288,98384.13273112022
4,-64.55497382198953,98372.91889105848
4,-63.61256544502618,98394.92401801163
4,-62.67015706806283,98449.30940755186
4,-61.72774869109948,98527.9430881076
4,-60.78534031413612,98624.9998372398
4,-59.84293193717278,98738.44300672684
4,-58.90052356020942,98867.31174045148
4,-57.95811518324607,99009.34765625032
4,-57.01570680628272,99162.50130208349
4,-56.07329842931937,99325.06279839431
4,-55.13089005235602,99495.81174045126
4,-54.18848167539267,99672.84385850666
4,-53.24607329842932,99853.9181315108
4,-52.303664921465966,100037.67258029545
4,-51.361256544502616,100222.01548936588
4,-50.41884816753927,100404.55946180539
4,-49.47643979057592,100582.32158745603
4,-48.53403141361257,100752.46020507833
4,-47.59162303664922,100913.99503580699
4,-46.64921465968587,101065.52821180616
4,-45.70680628272251,101206.4958224833
4,-44.76439790575916,101335.17751736083
4,-43.82198952879581,101452.20548502544
4,-42.87958115183246,101558.33851454011
4,-41.93717277486911,101653.19211154476
4,-40.99476439790576,101735.29909939288
4,-40.05235602094241,101806.80639648401
4,-39.109947643979055,101867.52058919215
4,-38.167539267015705,101916.86195204014
4,-37.225130890052355,101954.42003038143
4,-36.282722513089006,101979.17773437472
4,-35.340314136125656,101993.84922960117
4,-34.397905759162306,101999.02829318645
4,-33.455497382198956,101997.01657443566
4,-32.5130890052356,101987.99853515674
4,-31.57068062827225,101971.98532443546
4,-30.6282722513089,101948.23611111034
4,-29.68586387434555,101919.00008137967
4,-28.7434554973822,101884.84849717827
4,-27.80104712041885,101846.53583441839
4,-26.8586387434555,101804.4748806429
4,-25.916230366492144,101757.81212022566
4,-24.9738219895288,101706.4265950517
4,-24.031413612565444,101653.03971354137
4,-23.0890052356021,101601.15364583355
4,-22.146596858638745,101547.49137369766
4,-21.204188481675388,101492.39265950491
4,-20.261780104712045,101439.46318901959
4,-19.31937172774869,101388.36884223112
4,-18.376963350785346,101339.638102213
4,-17.43455497382199,101289.64396158823
4,-16.492146596858646,101242.65681966115
4,-15.54973821989529,101200.15700954894
4,-14.607329842931932,101167.31122504317
4,-13.66492146596859,101133.44124349012
4,-12.722513089005233,101100.41449652736
4,-11.78010471204189,101070.58924696187
4,-10.837696335078533,101045.7755805122
4,-9.89528795811519,101024.29744466196
4,-8.952879581151834,101005.9657931854
4,-8.010471204188477,100990.26912434855
4,-7.068062827225134,100976.48752170136
4,-6.125654450261777,100965.51350911481
4,-5.1832460732984345,100955.33308919253
4,-4.240837696335078,100948.57500542574
4,-3.298429319371735,100943.4285210497
4,-2.356020942408378,100939.15795898411
4,-1.4136125654450211,100938.23494466193
4,-0.47120418848167844,100937.65532769062
4,0.47120418848167844,100937.4248589406
4,1.4136125654450211,100936.5300292974
4,2.356020942408378,100935.308566623
4,3.2984293193717207,100936.02983940925
4,4.240837696335078,100939.71546766527
4,5.1832460732984345,100945.01831054673
4,6.125654450261777,100951.90367296035
4,7.068062827225134,100960.39176432294
4,8.010471204188477,100970.08146158814
4,8.952879581151834,100984.69002278616
4,9.895287958115176,101001.71305338565
4,10.837696335078533,101022.59849717886
4,11.78010471204189,101045.0355631512
4,12.722513089005233,101071.98076714363
4,13.66492146596859,101105.33666992244
4,14.607329842931932,101144.02907986085
4,15.54973821989529,101180.670979818
4,16.492146596858632,101217.68188476535
4,17.43455497382199,101255.80227322025
4,18.376963350785346,101294.27376302033
4,19.31937172774869,101333.65250651057
4,20.261780104712045,101371.75138346395
4,21.204188481675388,101405.93950737813
4,22.146596858638745,101443.65307617154
4,23.089005235602087,101481.53057183181
4,24.031413612565444,101516.46584743896
4,24.9738219895288,101546.92431640586
4,25.916230366492144,101576.25786675347
4,26.8586387434555,101615.80973307343
4,27.801047120418843,101665.08173285595
4,28.7434554973822,101706.62494574611
4,29.685863874345543,101734.84985351501
4,30.6282722513089,101752.74240451316
4,31.570680628272257,101763.62112087641
4,32.5130890052356,101772.72111002653
4,33.455497382198956,101788.92594401032
4,34.3979057591623,101794.03968641578
4,35.340314136125656,101786.05346679749
4,36.282722513089,101751.85346137123
4,37.225130890052355,101716.39781358458
4,38.16753926701571,101687.43321397594
4,39.10994764397907,101657.95743815044
4,40.0523560209424,101629.89762369762
4,40.994764397905755,101608.95241970551
4,41.93717277486911,101591.59106445286
4,42.87958115183247,101567.0584309896
4,43.8219895287958,101543.30460611919
4,44.764397905759154,101520.95491536426
4,45.70680628272251,101499.80154079932
4,46.64921465968587,101478.22010633742
4,47.591623036649224,101454.49883355005
4,48.53403141361255,101430.89930555582
4,49.47643979057591,101409.05636935707
4,50.41884816753927,101386.91170247388
4,51.36125654450262,101365.24544270788
4,52.30366492146598,101339.7340494796
4,53.24607329842931,101309.20103624156
4,54.188481675392666,101276.93139648407
4,55.13089005235602,101247.105658637
4,56.07329842931938,101219.39621310774
4,57.01570680628271,101193.93020290819
4,57.958115183246065,101172.11878797782
4,58.90052356020942,101159.05870225704
4,59.84293193717278,101157.98920355842
4,60.785340314136135,101173.88471137176
4,61.727748691099464,101197.46283637144
4,62.67015706806282,101223.54405381915
